year,status,age_group,no_of_drug_abusers
2012,New,40-49,121
2013,New,40-49,100
2014,New,40-49,74
2015,New,40-49,94
2016,New,40-49,110
2017,New,40-49,111
2018,New,40-49,138
2019,New,40-49,130
2020,New,40-49,112
2021,New,40-49,97
2022,New,40-49,101
2023,New,40-49,123
2003,New,50-59,11
2004,New,50-59,4
2005,New,50-59,4
2006,New,50-59,12
2007,New,50-59,9
2008,New,50-59,53
2009,New,50-59,65
2010,New,50-59,75
2011,New,50-59,26
2012,New,50-59,24
2013,New,50-59,35
2014,New,50-59,28
2015,New,50-59,21
2016,New,50-59,27
2017,New,50-59,33
2018,New,50-59,36
2019,New,50-59,70
2020,New,50-59,58
2021,New,50-59,40
2022,New,50-59,33
2023,New,50-59,52
2003,New,60 & Above,4
2004,New,60 & Above,0
2005,New,60 & Above,0
2006,New,60 & Above,0
2007,New,60 & Above,0
2008,New,60 & Above,8
2009,New,60 & Above,4
2010,New,60 & Above,7
2011,New,60 & Above,8
2012,New,60 & Above,3
2013,New,60 & Above,3
2014,New,60 & Above,5
2015,New,60 & Above,1
2016,New,60 & Above,4
2017,New,60 & Above,4
2018,New,60 & Above,12
2019,New,60 & Above,16
2020,New,60 & Above,13
2021,New,60 & Above,13
2022,New,60 & Above,18
2023,New,60 & Above,8
